PageNumber,PageCount,ResultCount,ResultDateTime
1,1,2939,2019-09-06T14:45:52.6099797-06:00
abbrev,parameter,measDateTime,measValue,measUnit,flagA,flagB,modified
PLAKERCO,DISCHRG,2019-08-08T14:45:00.0000000,319,cfs,O,,2019-08-08T15:39:40.0230000
PLAKERCO,DISCHRG,2019-08-08T15:00:00.0000000,319,cfs,O,,2019-08-08T15:39:40.0230000
PLAKERCO,DISCHRG,2019-08-08T15:15:00.0000000,319,cfs,O,,2019-08-08T15:39:40.0230000
PLAKERCO,DISCHRG,2019-08-08T15:30:00.0000000,322,cfs,O,,2019-08-08T15:39:40.0230000
PLAKERCO,DISCHRG,2019-08-08T15:45:00.0000000,322,cfs,O,,2019-08-08T16:40:01.3670000
PLAKERCO,DISCHRG,2019-08-08T16:00:00.0000000,330,cfs,O,,2019-08-08T16:40:01.3830000
PLAKERCO,DISCHRG,2019-08-08T16:15:00.0000000,322,cfs,O,,2019-08-08T16:40:01.4000000
PLAKERCO,DISCHRG,2019-08-08T16:30:00.0000000,315,cfs,O,,2019-08-08T16:40:01.4000000
PLAKERCO,DISCHRG,2019-08-08T16:45:00.0000000,322,cfs,O,,2019-08-08T17:40:03.9300000
PLAKERCO,DISCHRG,2019-08-08T17:00:00.0000000,319,cfs,O,,2019-08-08T17:40:03.9300000
PLAKERCO,DISCHRG,2019-08-08T17:15:00.0000000,330,cfs,O,,2019-08-08T17:40:03.9300000
PLAKERCO,DISCHRG,2019-08-08T17:30:00.0000000,326,cfs,O,,2019-08-08T17:40:03.9470000
PLAKERCO,DISCHRG,2019-08-08T17:45:00.0000000,334,cfs,O,,2019-08-08T18:40:05.8570000
PLAKERCO,DISCHRG,2019-08-08T18:00:00.0000000,326,cfs,O,,2019-08-08T18:40:05.8570000
PLAKERCO,DISCHRG,2019-08-08T18:15:00.0000000,326,cfs,O,,2019-08-08T18:40:05.8730000
PLAKERCO,DISCHRG,2019-08-08T18:30:00.0000000,326,cfs,O,,2019-08-08T18:40:05.8730000
PLAKERCO,DISCHRG,2019-08-08T18:45:00.0000000,330,cfs,O,,2019-08-08T19:39:27.2730000
PLAKERCO,DISCHRG,2019-08-08T19:00:00.0000000,326,cfs,O,,2019-08-08T19:39:27.2730000
PLAKERCO,DISCHRG,2019-08-08T19:15:00.0000000,326,cfs,O,,2019-08-08T19:39:27.2730000
PLAKERCO,DISCHRG,2019-08-08T19:30:00.0000000,326,cfs,O,,2019-08-08T19:39:27.2730000
PLAKERCO,DISCHRG,2019-08-08T19:45:00.0000000,326,cfs,O,,2019-08-08T20:39:28.5830000
PLAKERCO,DISCHRG,2019-08-08T20:00:00.0000000,330,cfs,O,,2019-08-08T20:39:28.5830000
PLAKERCO,DISCHRG,2019-08-08T20:15:00.0000000,330,cfs,O,,2019-08-08T20:39:28.5830000
PLAKERCO,DISCHRG,2019-08-08T20:30:00.0000000,337,cfs,O,,2019-08-08T20:39:28.5830000
PLAKERCO,DISCHRG,2019-08-08T20:45:00.0000000,341,cfs,O,,2019-08-08T21:39:50.0530000
PLAKERCO,DISCHRG,2019-08-08T21:00:00.0000000,337,cfs,O,,2019-08-08T21:39:50.0700000
PLAKERCO,DISCHRG,2019-08-08T21:15:00.0000000,341,cfs,O,,2019-08-08T21:39:50.0700000
PLAKERCO,DISCHRG,2019-08-08T21:30:00.0000000,341,cfs,O,,2019-08-08T21:39:50.0700000
PLAKERCO,DISCHRG,2019-08-08T21:45:00.0000000,341,cfs,O,,2019-08-08T22:39:51.4270000
PLAKERCO,DISCHRG,2019-08-08T22:00:00.0000000,345,cfs,O,,2019-08-08T22:39:51.4430000
PLAKERCO,DISCHRG,2019-08-08T22:15:00.0000000,345,cfs,O,,2019-08-08T22:39:51.4430000
PLAKERCO,DISCHRG,2019-08-08T22:30:00.0000000,341,cfs,O,,2019-08-08T22:39:51.4430000
PLAKERCO,DISCHRG,2019-08-08T22:45:00.0000000,353,cfs,O,,2019-08-08T23:39:52.9230000
PLAKERCO,DISCHRG,2019-08-08T23:00:00.0000000,349,cfs,O,,2019-08-08T23:39:52.9230000
PLAKERCO,DISCHRG,2019-08-08T23:15:00.0000000,349,cfs,O,,2019-08-08T23:39:52.9370000
PLAKERCO,DISCHRG,2019-08-08T23:30:00.0000000,349,cfs,O,,2019-08-08T23:39:52.9530000
PLAKERCO,DISCHRG,2019-08-08T23:45:00.0000000,356,cfs,O,,2019-08-09T00:39:54.2470000
PLAKERCO,DISCHRG,2019-08-09T00:00:00.0000000,353,cfs,O,,2019-08-09T00:39:54.2470000
